,DATE,Year,Month,Day,HomePrice
0,1975-01-02,1975,1,2,59.77
1,1975-01-03,1975,1,3,59.79193548387097
2,1975-01-06,1975,1,6,59.81387096774194
3,1975-01-07,1975,1,7,59.8358064516129
4,1975-01-08,1975,1,8,59.85774193548387
5,1975-01-09,1975,1,9,59.87967741935484
6,1975-01-10,1975,1,10,59.90161290322581
7,1975-01-13,1975,1,13,59.92354838709678
8,1975-01-14,1975,1,14,59.94548387096774
9,1975-01-15,1975,1,15,59.96741935483871
10,1975-01-16,1975,1,16,59.98935483870968
11,1975-01-17,1975,1,17,60.01129032258065
12,1975-01-20,1975,1,20,60.03322580645162
13,1975-01-21,1975,1,21,60.05516129032258
14,1975-01-22,1975,1,22,60.07709677419355
15,1975-01-23,1975,1,23,60.09903225806452
16,1975-01-24,1975,1,24,60.12096774193549
17,1975-01-27,1975,1,27,60.14290322580646
18,1975-01-28,1975,1,28,60.164838709677426
19,1975-01-29,1975,1,29,60.18677419354839
20,1975-01-30,1975,1,30,60.20870967741936
21,1975-01-31,1975,1,31,60.230645161290326
22,1975-02-03,1975,2,3,60.252580645161295
23,1975-02-04,1975,2,4,60.274516129032264
24,1975-02-05,1975,2,5,60.296451612903226
25,1975-02-06,1975,2,6,60.318387096774195
26,1975-02-07,1975,2,7,60.340322580645164
27,1975-02-10,1975,2,10,60.36225806451613
28,1975-02-11,1975,2,11,60.3841935483871
29,1975-02-12,1975,2,12,60.406129032258065
30,1975-02-13,1975,2,13,60.428064516129034
31,1975-02-14,1975,2,14,60.45
32,1975-02-18,1975,2,18,60.47193548387097
33,1975-02-19,1975,2,19,60.49387096774194
34,1975-02-20,1975,2,20,60.5158064516129
35,1975-02-21,1975,2,21,60.53774193548387
36,1975-02-24,1975,2,24,60.55967741935484
37,1975-02-25,1975,2,25,60.58161290322581
38,1975-02-26,1975,2,26,60.60354838709678
39,1975-02-27,1975,2,27,60.62548387096774
40,1975-02-28,1975,2,28,60.64741935483871
41,1975-03-03,1975,3,3,60.66935483870968
42,1975-03-04,1975,3,4,60.69129032258065
43,1975-03-05,1975,3,5,60.71322580645162
44,1975-03-06,1975,3,6,60.73516129032258
45,1975-03-07,1975,3,7,60.75709677419355
46,1975-03-10,1975,3,10,60.77903225806452
47,1975-03-11,1975,3,11,60.80096774193549
48,1975-03-12,1975,3,12,60.822903225806456
49,1975-03-13,1975,3,13,60.844838709677425
50,1975-03-14,1975,3,14,60.86677419354839
51,1975-03-17,1975,3,17,60.88870967741936
52,1975-03-18,1975,3,18,60.910645161290326
53,1975-03-19,1975,3,19,60.932580645161295
54,1975-03-20,1975,3,20,60.954516129032264
55,1975-03-21,1975,3,21,60.976451612903226
56,1975-03-24,1975,3,24,60.998387096774195
57,1975-03-25,1975,3,25,61.020322580645164
58,1975-03-26,1975,3,26,61.04225806451613
59,1975-03-27,1975,3,27,61.0641935483871
60,1975-03-28,1975,3,28,61.086129032258064
61,1975-03-31,1975,3,31,61.10806451612903
62,1975-04-01,1975,4,1,61.13
63,1975-04-02,1975,4,2,61.132031250000004
64,1975-04-03,1975,4,3,61.1340625
65,1975-04-04,1975,4,4,61.13609375
66,1975-04-07,1975,4,7,61.138125
67,1975-04-08,1975,4,8,61.140156250000004
68,1975-04-09,1975,4,9,61.142187500000006
69,1975-04-10,1975,4,10,61.14421875
70,1975-04-11,1975,4,11,61.14625
71,1975-04-14,1975,4,14,61.148281250000004
72,1975-04-15,1975,4,15,61.1503125
73,1975-04-16,1975,4,16,61.15234375
74,1975-04-17,1975,4,17,61.154375
75,1975-04-18,1975,4,18,61.15640625
76,1975-04-21,1975,4,21,61.158437500000005
77,1975-04-22,1975,4,22,61.16046875
78,1975-04-23,1975,4,23,61.1625
79,1975-04-24,1975,4,24,61.16453125
80,1975-04-25,1975,4,25,61.1665625
81,1975-04-28,1975,4,28,61.16859375
82,1975-04-29,1975,4,29,61.170625
83,1975-04-30,1975,4,30,61.17265625
84,1975-05-01,1975,5,1,61.174687500000005
85,1975-05-02,1975,5,2,61.17671875
86,1975-05-05,1975,5,5,61.17875
87,1975-05-06,1975,5,6,61.18078125
88,1975-05-07,1975,5,7,61.1828125
89,1975-05-08,1975,5,8,61.18484375
90,1975-05-09,1975,5,9,61.186875
91,1975-05-12,1975,5,12,61.18890625
92,1975-05-13,1975,5,13,61.190937500000004
93,1975-05-14,1975,5,14,61.19296875
94,1975-05-15,1975,5,15,61.195
95,1975-05-16,1975,5,16,61.19703125
96,1975-05-19,1975,5,19,61.1990625
97,1975-05-20,1975,5,20,61.20109375
98,1975-05-21,1975,5,21,61.203125
99,1975-05-22,1975,5,22,61.20515625
100,1975-05-23,1975,5,23,61.2071875
101,1975-05-27,1975,5,27,61.20921875
102,1975-05-28,1975,5,28,61.21125
103,1975-05-29,1975,5,29,61.21328125
104,1975-05-30,1975,5,30,61.215312499999996
105,1975-06-02,1975,6,2,61.21734375
106,1975-06-03,1975,6,3,61.219375
107,1975-06-04,1975,6,4,61.22140625
108,1975-06-05,1975,6,5,61.2234375
109,1975-06-06,1975,6,6,61.22546875
110,1975-06-09,1975,6,9,61.2275
111,1975-06-10,1975,6,10,61.22953125
112,1975-06-11,1975,6,11,61.231562499999995
113,1975-06-12,1975,6,12,61.23359375
114,1975-06-13,1975,6,13,61.235625
115,1975-06-16,1975,6,16,61.23765625
116,1975-06-17,1975,6,17,61.2396875
117,1975-06-18,1975,6,18,61.24171875
118,1975-06-19,1975,6,19,61.24375
119,1975-06-20,1975,6,20,61.24578125
120,1975-06-23,1975,6,23,61.247812499999995
121,1975-06-24,1975,6,24,61.24984375
122,1975-06-25,1975,6,25,61.251875
123,1975-06-26,1975,6,26,61.25390625
124,1975-06-27,1975,6,27,61.2559375
125,1975-06-30,1975,6,30,61.257968749999996
126,1975-07-01,1975,7,1,61.26
127,1975-07-02,1975,7,2,61.27640625
128,1975-07-03,1975,7,3,61.2928125
129,1975-07-07,1975,7,7,61.30921875
130,1975-07-08,1975,7,8,61.325624999999995
131,1975-07-09,1975,7,9,61.34203125
132,1975-07-10,1975,7,10,61.3584375
133,1975-07-11,1975,7,11,61.37484375
134,1975-07-14,1975,7,14,61.39125
135,1975-07-15,1975,7,15,61.407656249999995
136,1975-07-16,1975,7,16,61.4240625
137,1975-07-17,1975,7,17,61.44046875
138,1975-07-18,1975,7,18,61.456875
139,1975-07-21,1975,7,21,61.47328125
140,1975-07-22,1975,7,22,61.4896875
141,1975-07-23,1975,7,23,61.50609375
142,1975-07-24,1975,7,24,61.5225
143,1975-07-25,1975,7,25,61.53890625
144,1975-07-28,1975,7,28,61.5553125
145,1975-07-29,1975,7,29,61.57171875
146,1975-07-30,1975,7,30,61.588125
147,1975-07-31,1975,7,31,61.60453125
148,1975-08-01,1975,8,1,61.6209375
149,1975-08-04,1975,8,4,61.63734375
150,1975-08-05,1975,8,5,61.65375
151,1975-08-06,1975,8,6,61.67015625
152,1975-08-07,1975,8,7,61.6865625
153,1975-08-08,1975,8,8,61.70296875
154,1975-08-11,1975,8,11,61.719375
155,1975-08-12,1975,8,12,61.73578125
156,1975-08-13,1975,8,13,61.7521875
157,1975-08-14,1975,8,14,61.76859375
158,1975-08-15,1975,8,15,61.785
159,1975-08-18,1975,8,18,61.80140625
160,1975-08-19,1975,8,19,61.8178125
161,1975-08-20,1975,8,20,61.83421875
162,1975-08-21,1975,8,21,61.850625
163,1975-08-22,1975,8,22,61.867031250000004
164,1975-08-25,1975,8,25,61.8834375
165,1975-08-26,1975,8,26,61.89984375
166,1975-08-27,1975,8,27,61.91625
167,1975-08-28,1975,8,28,61.93265625
168,1975-08-29,1975,8,29,61.949062500000004
169,1975-09-02,1975,9,2,61.96546875
170,1975-09-03,1975,9,3,61.981875
171,1975-09-04,1975,9,4,61.99828125
172,1975-09-05,1975,9,5,62.0146875
173,1975-09-08,1975,9,8,62.031093750000004
174,1975-09-09,1975,9,9,62.0475
175,1975-09-10,1975,9,10,62.06390625
176,1975-09-11,1975,9,11,62.0803125
177,1975-09-12,1975,9,12,62.09671875
178,1975-09-15,1975,9,15,62.113125000000004
179,1975-09-16,1975,9,16,62.12953125
180,1975-09-17,1975,9,17,62.1459375
181,1975-09-18,1975,9,18,62.162343750000005
182,1975-09-19,1975,9,19,62.17875
183,1975-09-22,1975,9,22,62.195156250000004
184,1975-09-23,1975,9,23,62.2115625
185,1975-09-24,1975,9,24,62.22796875
186,1975-09-25,1975,9,25,62.244375000000005
187,1975-09-26,1975,9,26,62.26078125
188,1975-09-29,1975,9,29,62.277187500000004
189,1975-09-30,1975,9,30,62.29359375
190,1975-10-01,1975,10,1,62.31
191,1975-10-02,1975,10,2,62.318709677419356
192,1975-10-03,1975,10,3,62.32741935483871
193,1975-10-06,1975,10,6,62.336129032258064
194,1975-10-07,1975,10,7,62.34483870967742
195,1975-10-08,1975,10,8,62.35354838709678
196,1975-10-09,1975,10,9,62.36225806451613
197,1975-10-10,1975,10,10,62.37096774193549
198,1975-10-14,1975,10,14,62.37967741935484
199,1975-10-15,1975,10,15,62.388387096774196
200,1975-10-16,1975,10,16,62.39709677419355
201,1975-10-17,1975,10,17,62.405806451612904
202,1975-10-20,1975,10,20,62.41451612903226
203,1975-10-21,1975,10,21,62.42322580645161
204,1975-10-22,1975,10,22,62.43193548387097
205,1975-10-23,1975,10,23,62.44064516129033
206,1975-10-24,1975,10,24,62.44935483870968
207,1975-10-27,1975,10,27,62.458064516129035
208,1975-10-28,1975,10,28,62.46677419354839
209,1975-10-29,1975,10,29,62.47548387096774
210,1975-10-30,1975,10,30,62.4841935483871
211,1975-10-31,1975,10,31,62.49290322580645
212,1975-11-03,1975,11,3,62.501612903225805
213,1975-11-04,1975,11,4,62.510322580645166
214,1975-11-05,1975,11,5,62.51903225806452
215,1975-11-06,1975,11,6,62.527741935483874
216,1975-11-07,1975,11,7,62.53645161290323
217,1975-11-10,1975,11,10,62.54516129032258
218,1975-11-12,1975,11,12,62.553870967741936
219,1975-11-13,1975,11,13,62.56258064516129
220,1975-11-14,1975,11,14,62.571290322580644
221,1975-11-17,1975,11,17,62.58
222,1975-11-18,1975,11,18,62.58870967741936
223,1975-11-19,1975,11,19,62.59741935483871
224,1975-11-20,1975,11,20,62.60612903225807
225,1975-11-21,1975,11,21,62.61483870967742
226,1975-11-24,1975,11,24,62.623548387096776
227,1975-11-25,1975,11,25,62.63225806451613
228,1975-11-26,1975,11,26,62.640967741935484
229,1975-11-28,1975,11,28,62.64967741935484
230,1975-12-01,1975,12,1,62.6583870967742
231,1975-12-02,1975,12,2,62.66709677419355
232,1975-12-03,1975,12,3,62.67580645161291
233,1975-12-04,1975,12,4,62.68451612903226
234,1975-12-05,1975,12,5,62.693225806451615
235,1975-12-08,1975,12,8,62.70193548387097
236,1975-12-09,1975,12,9,62.71064516129032
237,1975-12-10,1975,12,10,62.71935483870968
238,1975-12-11,1975,12,11,62.72806451612903
239,1975-12-12,1975,12,12,62.73677419354839
240,1975-12-15,1975,12,15,62.745483870967746
241,1975-12-16,1975,12,16,62.7541935483871
242,1975-12-17,1975,12,17,62.762903225806454
243,1975-12-18,1975,12,18,62.77161290322581
244,1975-12-19,1975,12,19,62.78032258064516
245,1975-12-22,1975,12,22,62.789032258064516
246,1975-12-23,1975,12,23,62.79774193548387
247,1975-12-24,1975,12,24,62.806451612903224
248,1975-12-26,1975,12,26,62.815161290322585
249,1975-12-29,1975,12,29,62.82387096774194
250,1975-12-30,1975,12,30,62.83258064516129
251,1975-12-31,1975,12,31,62.84129032258065
252,1976-01-02,1976,1,2,62.85
253,1976-01-05,1976,1,5,62.8915873015873
254,1976-01-06,1976,1,6,62.933174603174606
255,1976-01-07,1976,1,7,62.974761904761905
256,1976-01-08,1976,1,8,63.016349206349204
257,1976-01-09,1976,1,9,63.05793650793651
258,1976-01-12,1976,1,12,63.09952380952381
259,1976-01-13,1976,1,13,63.141111111111115
260,1976-01-14,1976,1,14,63.182698412698414
261,1976-01-15,1976,1,15,63.22428571428571
262,1976-01-16,1976,1,16,63.26587301587302
263,1976-01-19,1976,1,19,63.30746031746032
264,1976-01-20,1976,1,20,63.34904761904762
265,1976-01-21,1976,1,21,63.39063492063492
266,1976-01-22,1976,1,22,63.43222222222222
267,1976-01-23,1976,1,23,63.47380952380952
268,1976-01-26,1976,1,26,63.51539682539683
269,1976-01-27,1976,1,27,63.556984126984126
270,1976-01-28,1976,1,28,63.59857142857143
271,1976-01-29,1976,1,29,63.64015873015873
272,1976-01-30,1976,1,30,63.68174603174603
273,1976-02-02,1976,2,2,63.723333333333336
274,1976-02-03,1976,2,3,63.764920634920635
275,1976-02-04,1976,2,4,63.806507936507934
276,1976-02-05,1976,2,5,63.84809523809524
277,1976-02-06,1976,2,6,63.88968253968254
278,1976-02-09,1976,2,9,63.93126984126984
279,1976-02-10,1976,2,10,63.972857142857144
280,1976-02-11,1976,2,11,64.01444444444445
281,1976-02-12,1976,2,12,64.05603174603175
282,1976-02-13,1976,2,13,64.09761904761905
283,1976-02-17,1976,2,17,64.13920634920635
284,1976-02-18,1976,2,18,64.18079365079365
285,1976-02-19,1976,2,19,64.22238095238096
286,1976-02-20,1976,2,20,64.26396825396826
287,1976-02-23,1976,2,23,64.30555555555556
288,1976-02-24,1976,2,24,64.34714285714286
289,1976-02-25,1976,2,25,64.38873015873016
290,1976-02-26,1976,2,26,64.43031746031745
291,1976-02-27,1976,2,27,64.47190476190477
292,1976-03-01,1976,3,1,64.51349206349207
293,1976-03-02,1976,3,2,64.55507936507937
294,1976-03-03,1976,3,3,64.59666666666666
295,1976-03-04,1976,3,4,64.63825396825396
296,1976-03-05,1976,3,5,64.67984126984128
297,1976-03-08,1976,3,8,64.72142857142858
298,1976-03-09,1976,3,9,64.76301587301587
299,1976-03-10,1976,3,10,64.80460317460317
300,1976-03-11,1976,3,11,64.84619047619047
301,1976-03-12,1976,3,12,64.88777777777777
302,1976-03-15,1976,3,15,64.92936507936508
303,1976-03-16,1976,3,16,64.97095238095238
304,1976-03-17,1976,3,17,65.01253968253968
305,1976-03-18,1976,3,18,65.05412698412698
306,1976-03-19,1976,3,19,65.09571428571428
307,1976-03-22,1976,3,22,65.1373015873016
308,1976-03-23,1976,3,23,65.17888888888889
309,1976-03-24,1976,3,24,65.22047619047619
310,1976-03-25,1976,3,25,65.26206349206349
311,1976-03-26,1976,3,26,65.30365079365079
312,1976-03-29,1976,3,29,65.34523809523809
313,1976-03-30,1976,3,30,65.3868253968254
314,1976-03-31,1976,3,31,65.4284126984127
315,1976-04-01,1976,4,1,65.47
316,1976-04-02,1976,4,2,65.48703125
317,1976-04-05,1976,4,5,65.5040625
318,1976-04-06,1976,4,6,65.52109375
319,1976-04-07,1976,4,7,65.538125
320,1976-04-08,1976,4,8,65.55515625
321,1976-04-09,1976,4,9,65.5721875
322,1976-04-12,1976,4,12,65.58921875
323,1976-04-13,1976,4,13,65.60625
324,1976-04-14,1976,4,14,65.62328125
325,1976-04-15,1976,4,15,65.6403125
326,1976-04-16,1976,4,16,65.65734375
327,1976-04-19,1976,4,19,65.674375
328,1976-04-20,1976,4,20,65.69140625
329,1976-04-21,1976,4,21,65.7084375
330,1976-04-22,1976,4,22,65.72546875
331,1976-04-23,1976,4,23,65.7425
332,1976-04-26,1976,4,26,65.75953125
333,1976-04-27,1976,4,27,65.7765625
334,1976-04-28,1976,4,28,65.79359375
335,1976-04-29,1976,4,29,65.810625
336,1976-04-30,1976,4,30,65.82765625
337,1976-05-03,1976,5,3,65.8446875
338,1976-05-04,1976,5,4,65.86171875
339,1976-05-05,1976,5,5,65.87875
340,1976-05-06,1976,5,6,65.89578125
341,1976-05-07,1976,5,7,65.9128125
342,1976-05-10,1976,5,10,65.92984375
343,1976-05-11,1976,5,11,65.946875
344,1976-05-12,1976,5,12,65.96390625
345,1976-05-13,1976,5,13,65.9809375
346,1976-05-14,1976,5,14,65.99796875
347,1976-05-17,1976,5,17,66.015
348,1976-05-18,1976,5,18,66.03203125
349,1976-05-19,1976,5,19,66.0490625
350,1976-05-20,1976,5,20,66.06609375000001
351,1976-05-21,1976,5,21,66.083125
352,1976-05-24,1976,5,24,66.10015625
353,1976-05-25,1976,5,25,66.1171875
354,1976-05-26,1976,5,26,66.13421875
355,1976-05-27,1976,5,27,66.15125
356,1976-05-28,1976,5,28,66.16828125
357,1976-06-01,1976,6,1,66.1853125
358,1976-06-02,1976,6,2,66.20234375
359,1976-06-03,1976,6,3,66.219375
360,1976-06-04,1976,6,4,66.23640625
361,1976-06-07,1976,6,7,66.2534375
362,1976-06-08,1976,6,8,66.27046875
363,1976-06-09,1976,6,9,66.2875
364,1976-06-10,1976,6,10,66.30453125
365,1976-06-11,1976,6,11,66.3215625
366,1976-06-14,1976,6,14,66.33859375
367,1976-06-15,1976,6,15,66.355625
368,1976-06-16,1976,6,16,66.37265625
369,1976-06-17,1976,6,17,66.38968750000001
370,1976-06-18,1976,6,18,66.40671875
371,1976-06-21,1976,6,21,66.42375
372,1976-06-22,1976,6,22,66.44078125
373,1976-06-23,1976,6,23,66.4578125
374,1976-06-24,1976,6,24,66.47484375
375,1976-06-25,1976,6,25,66.49187500000001
376,1976-06-28,1976,6,28,66.50890625
377,1976-06-29,1976,6,29,66.5259375
378,1976-06-30,1976,6,30,66.54296875
379,1976-07-01,1976,7,1,66.56
380,1976-07-02,1976,7,2,66.57078125
381,1976-07-06,1976,7,6,66.5815625
382,1976-07-07,1976,7,7,66.59234375
383,1976-07-08,1976,7,8,66.603125
384,1976-07-09,1976,7,9,66.61390625
385,1976-07-12,1976,7,12,66.62468750000001
386,1976-07-13,1976,7,13,66.63546875
387,1976-07-14,1976,7,14,66.64625000000001
388,1976-07-15,1976,7,15,66.65703125
389,1976-07-16,1976,7,16,66.6678125
390,1976-07-19,1976,7,19,66.67859375
391,1976-07-20,1976,7,20,66.689375
392,1976-07-21,1976,7,21,66.70015625
393,1976-07-22,1976,7,22,66.7109375
394,1976-07-23,1976,7,23,66.72171875000001
395,1976-07-26,1976,7,26,66.7325
396,1976-07-27,1976,7,27,66.74328125
397,1976-07-28,1976,7,28,66.7540625
398,1976-07-29,1976,7,29,66.76484375
399,1976-07-30,1976,7,30,66.775625
400,1976-08-02,1976,8,2,66.78640625
401,1976-08-03,1976,8,3,66.7971875
402,1976-08-04,1976,8,4,66.80796875
403,1976-08-05,1976,8,5,66.81875
404,1976-08-06,1976,8,6,66.82953125
405,1976-08-09,1976,8,9,66.8403125
406,1976-08-10,1976,8,10,66.85109375
407,1976-08-11,1976,8,11,66.861875
408,1976-08-12,1976,8,12,66.87265625
409,1976-08-13,1976,8,13,66.8834375
410,1976-08-16,1976,8,16,66.89421875000001
411,1976-08-17,1976,8,17,66.905
412,1976-08-18,1976,8,18,66.91578125
413,1976-08-19,1976,8,19,66.9265625
414,1976-08-20,1976,8,20,66.93734375
415,1976-08-23,1976,8,23,66.948125
416,1976-08-24,1976,8,24,66.95890625
417,1976-08-25,1976,8,25,66.9696875
418,1976-08-26,1976,8,26,66.98046875
419,1976-08-27,1976,8,27,66.99125000000001
420,1976-08-30,1976,8,30,67.00203125
421,1976-08-31,1976,8,31,67.0128125
422,1976-09-01,1976,9,1,67.02359375
423,1976-09-02,1976,9,2,67.034375
424,1976-09-03,1976,9,3,67.04515625
425,1976-09-07,1976,9,7,67.0559375
426,1976-09-08,1976,9,8,67.06671875
427,1976-09-09,1976,9,9,67.0775
428,1976-09-10,1976,9,10,67.08828125
429,1976-09-13,1976,9,13,67.0990625
430,1976-09-14,1976,9,14,67.10984375
431,1976-09-15,1976,9,15,67.120625
432,1976-09-16,1976,9,16,67.13140625
433,1976-09-17,1976,9,17,67.1421875
434,1976-09-20,1976,9,20,67.15296875
435,1976-09-21,1976,9,21,67.16375
436,1976-09-22,1976,9,22,67.17453125
437,1976-09-23,1976,9,23,67.1853125
438,1976-09-24,1976,9,24,67.19609375
439,1976-09-27,1976,9,27,67.206875
440,1976-09-28,1976,9,28,67.21765625
441,1976-09-29,1976,9,29,67.2284375
442,1976-09-30,1976,9,30,67.23921875
443,1976-10-01,1976,10,1,67.25
444,1976-10-04,1976,10,4,67.28557377049181
445,1976-10-05,1976,10,5,67.3211475409836
446,1976-10-06,1976,10,6,67.35672131147541
447,1976-10-07,1976,10,7,67.39229508196722
448,1976-10-08,1976,10,8,67.42786885245901
449,1976-10-12,1976,10,12,67.46344262295082
450,1976-10-13,1976,10,13,67.49901639344262
451,1976-10-14,1976,10,14,67.53459016393442
452,1976-10-15,1976,10,15,67.57016393442623
453,1976-10-18,1976,10,18,67.60573770491803
454,1976-10-19,1976,10,19,67.64131147540984
455,1976-10-20,1976,10,20,67.67688524590164
456,1976-10-21,1976,10,21,67.71245901639344
457,1976-10-22,1976,10,22,67.74803278688525
458,1976-10-25,1976,10,25,67.78360655737706
459,1976-10-26,1976,10,26,67.81918032786885
460,1976-10-27,1976,10,27,67.85475409836066
461,1976-10-28,1976,10,28,67.89032786885247
462,1976-10-29,1976,10,29,67.92590163934426
463,1976-11-01,1976,11,1,67.96147540983607
464,1976-11-02,1976,11,2,67.99704918032786
465,1976-11-03,1976,11,3,68.03262295081967
466,1976-11-04,1976,11,4,68.06819672131148
467,1976-11-05,1976,11,5,68.10377049180327
468,1976-11-08,1976,11,8,68.13934426229508
469,1976-11-09,1976,11,9,68.17491803278689
470,1976-11-10,1976,11,10,68.21049180327869
471,1976-11-12,1976,11,12,68.2460655737705
472,1976-11-15,1976,11,15,68.2816393442623
473,1976-11-16,1976,11,16,68.3172131147541
474,1976-11-17,1976,11,17,68.3527868852459
475,1976-11-18,1976,11,18,68.3883606557377
476,1976-11-19,1976,11,19,68.42393442622951
477,1976-11-22,1976,11,22,68.45950819672132
478,1976-11-23,1976,11,23,68.49508196721311
479,1976-11-24,1976,11,24,68.53065573770492
480,1976-11-26,1976,11,26,68.56622950819673
481,1976-11-29,1976,11,29,68.60180327868852
482,1976-11-30,1976,11,30,68.63737704918033
483,1976-12-01,1976,12,1,68.67295081967214
484,1976-12-02,1976,12,2,68.70852459016393
485,1976-12-03,1976,12,3,68.74409836065574
486,1976-12-06,1976,12,6,68.77967213114754
487,1976-12-07,1976,12,7,68.81524590163934
488,1976-12-08,1976,12,8,68.85081967213115
489,1976-12-09,1976,12,9,68.88639344262295
490,1976-12-10,1976,12,10,68.92196721311475
491,1976-12-13,1976,12,13,68.95754098360656
492,1976-12-14,1976,12,14,68.99311475409836
493,1976-12-15,1976,12,15,69.02868852459017
494,1976-12-16,1976,12,16,69.06426229508197
495,1976-12-17,1976,12,17,69.09983606557377
496,1976-12-20,1976,12,20,69.13540983606558
497,1976-12-21,1976,12,21,69.17098360655739
498,1976-12-22,1976,12,22,69.20655737704918
499,1976-12-23,1976,12,23,69.24213114754099
500,1976-12-27,1976,12,27,69.27770491803278
501,1976-12-28,1976,12,28,69.31327868852459
502,1976-12-29,1976,12,29,69.3488524590164
503,1976-12-30,1976,12,30,69.3844262295082
504,1977-01-03,1977,1,3,69.42
505,1977-01-04,1977,1,4,69.47190476190477
506,1977-01-05,1977,1,5,69.52380952380952
507,1977-01-06,1977,1,6,69.57571428571428
508,1977-01-07,1977,1,7,69.62761904761905
509,1977-01-10,1977,1,10,69.67952380952381
510,1977-01-11,1977,1,11,69.73142857142857
511,1977-01-12,1977,1,12,69.78333333333333
512,1977-01-13,1977,1,13,69.8352380952381
513,1977-01-14,1977,1,14,69.88714285714286
514,1977-01-17,1977,1,17,69.93904761904761
515,1977-01-18,1977,1,18,69.99095238095238
516,1977-01-19,1977,1,19,70.04285714285714
517,1977-01-20,1977,1,20,70.09476190476191
518,1977-01-21,1977,1,21,70.14666666666666
519,1977-01-24,1977,1,24,70.19857142857143
520,1977-01-25,1977,1,25,70.25047619047619
521,1977-01-26,1977,1,26,70.30238095238096
522,1977-01-27,1977,1,27,70.35428571428571
523,1977-01-28,1977,1,28,70.40619047619047
524,1977-01-31,1977,1,31,70.45809523809524
525,1977-02-01,1977,2,1,70.51
526,1977-02-02,1977,2,2,70.56190476190476
527,1977-02-03,1977,2,3,70.61380952380952
528,1977-02-04,1977,2,4,70.66571428571429
529,1977-02-07,1977,2,7,70.71761904761905
530,1977-02-08,1977,2,8,70.7695238095238
531,1977-02-09,1977,2,9,70.82142857142857
532,1977-02-10,1977,2,10,70.87333333333333
533,1977-02-11,1977,2,11,70.9252380952381
534,1977-02-14,1977,2,14,70.97714285714285
535,1977-02-15,1977,2,15,71.02904761904762
536,1977-02-16,1977,2,16,71.08095238095238
537,1977-02-17,1977,2,17,71.13285714285715
538,1977-02-18,1977,2,18,71.1847619047619
539,1977-02-22,1977,2,22,71.23666666666666
540,1977-02-23,1977,2,23,71.28857142857143
541,1977-02-24,1977,2,24,71.3404761904762
542,1977-02-25,1977,2,25,71.39238095238095
543,1977-02-28,1977,2,28,71.44428571428571
544,1977-03-01,1977,3,1,71.49619047619048
545,1977-03-02,1977,3,2,71.54809523809524
546,1977-03-03,1977,3,3,71.6
547,1977-03-04,1977,3,4,71.65190476190476
548,1977-03-07,1977,3,7,71.70380952380953
549,1977-03-08,1977,3,8,71.75571428571429
550,1977-03-09,1977,3,9,71.80761904761904
551,1977-03-10,1977,3,10,71.85952380952381
552,1977-03-11,1977,3,11,71.91142857142857
553,1977-03-14,1977,3,14,71.96333333333334
554,1977-03-15,1977,3,15,72.01523809523809
555,1977-03-16,1977,3,16,72.06714285714285
556,1977-03-17,1977,3,17,72.11904761904762
557,1977-03-18,1977,3,18,72.17095238095239
558,1977-03-21,1977,3,21,72.22285714285714
559,1977-03-22,1977,3,22,72.2747619047619
560,1977-03-23,1977,3,23,72.32666666666667
561,1977-03-24,1977,3,24,72.37857142857143
562,1977-03-25,1977,3,25,72.43047619047618
563,1977-03-28,1977,3,28,72.48238095238095
564,1977-03-29,1977,3,29,72.53428571428572
565,1977-03-30,1977,3,30,72.58619047619047
566,1977-03-31,1977,3,31,72.63809523809523
567,1977-04-01,1977,4,1,72.69
568,1977-04-04,1977,4,4,72.71609375
569,1977-04-05,1977,4,5,72.7421875
570,1977-04-06,1977,4,6,72.76828125
571,1977-04-07,1977,4,7,72.794375
572,1977-04-08,1977,4,8,72.82046875
573,1977-04-11,1977,4,11,72.8465625
574,1977-04-12,1977,4,12,72.87265624999999
575,1977-04-13,1977,4,13,72.89874999999999
576,1977-04-14,1977,4,14,72.92484375
577,1977-04-15,1977,4,15,72.9509375
578,1977-04-18,1977,4,18,72.97703125
579,1977-04-19,1977,4,19,73.003125
580,1977-04-20,1977,4,20,73.02921875
581,1977-04-21,1977,4,21,73.0553125
582,1977-04-22,1977,4,22,73.08140625
583,1977-04-25,1977,4,25,73.1075
584,1977-04-26,1977,4,26,73.13359375
585,1977-04-27,1977,4,27,73.1596875
586,1977-04-28,1977,4,28,73.18578125
587,1977-04-29,1977,4,29,73.21187499999999
588,1977-05-02,1977,5,2,73.23796875
589,1977-05-03,1977,5,3,73.2640625
590,1977-05-04,1977,5,4,73.29015625
591,1977-05-05,1977,5,5,73.31625
592,1977-05-06,1977,5,6,73.34234375
593,1977-05-09,1977,5,9,73.3684375
594,1977-05-10,1977,5,10,73.39453125
595,1977-05-11,1977,5,11,73.420625
596,1977-05-12,1977,5,12,73.44671875
597,1977-05-13,1977,5,13,73.4728125
598,1977-05-16,1977,5,16,73.49890625
599,1977-05-17,1977,5,17,73.525
600,1977-05-18,1977,5,18,73.55109374999999
601,1977-05-19,1977,5,19,73.5771875
602,1977-05-20,1977,5,20,73.60328125
603,1977-05-23,1977,5,23,73.629375
604,1977-05-24,1977,5,24,73.65546875
605,1977-05-25,1977,5,25,73.6815625
606,1977-05-26,1977,5,26,73.70765625
607,1977-05-27,1977,5,27,73.73375
608,1977-05-31,1977,5,31,73.75984375
